Date,Open,High,Low,Close,Adj Close,Volume
2013-11-12,103.500000,104.474998,101.500000,102.349998,91.083580,61914
2013-11-13,103.974998,105.050003,101.224998,103.150002,91.795517,1205122
2013-11-14,103.500000,105.000000,102.500000,103.724998,92.307236,805624
2013-11-18,105.000000,105.099998,103.724998,104.675003,93.152664,68584
2013-11-19,105.099998,105.500000,103.550003,105.275002,93.686623,215606
2013-11-20,105.025002,106.000000,104.500000,105.324997,93.731094,355288
2013-11-21,105.974998,105.974998,103.775002,104.250000,92.774422,67990
2013-11-22,105.849998,105.849998,103.000000,103.099998,91.751022,116088
2013-11-25,103.150002,104.125000,102.500000,103.599998,92.195984,302162
2013-11-26,103.949997,103.974998,102.650002,103.550003,92.151497,181852
2013-11-27,104.300003,105.375000,102.750000,104.324997,92.841156,730386
2013-11-28,105.000000,106.775002,103.675003,106.500000,94.776772,1370996
2013-11-29,107.500000,108.500000,106.574997,108.025002,96.133911,2382128
2013-12-02,108.425003,108.900002,107.599998,107.974998,96.089386,2062678
2013-12-03,109.000000,109.400002,107.500000,107.699997,95.844666,203814
2013-12-04,107.500000,108.175003,106.199997,107.224998,95.421944,78396
2013-12-05,106.625000,108.599998,106.625000,108.074997,96.178391,374640
2013-12-06,108.025002,108.250000,106.125000,107.000000,95.221710,678012
2013-12-09,108.699997,108.699997,103.750000,104.400002,92.907951,187524
2013-12-10,103.525002,105.000000,103.525002,104.650002,93.130386,104524
2013-12-11,104.875000,105.000000,103.550003,104.525002,93.019173,154204
2013-12-12,104.000000,108.199997,104.000000,105.125000,93.553108,3019168
2013-12-13,105.625000,106.000000,102.949997,104.175003,92.707695,262952
2013-12-16,104.500000,105.750000,103.949997,104.275002,92.796677,92808
2013-12-17,105.000000,105.724998,104.000000,105.324997,93.731094,200664
2013-12-18,105.699997,108.849998,104.599998,107.574997,95.733421,1127836
2013-12-19,106.275002,111.500000,106.199997,110.750000,98.558929,2460742
2013-12-20,111.000000,112.500000,109.625000,110.750000,98.558929,470094
2013-12-23,110.175003,110.925003,107.000000,107.800003,95.933662,168334
2013-12-24,107.525002,108.900002,107.025002,107.925003,96.044907,291610
2013-12-26,107.750000,109.724998,107.750000,108.949997,96.957062,148830
2013-12-27,109.500000,111.425003,108.625000,110.500000,98.336449,395594
2013-12-30,111.000000,111.750000,109.275002,110.400002,98.247467,378308
2013-12-31,110.500000,110.500000,108.000000,108.349998,96.423111,105656
2014-01-01,109.474998,111.000000,108.699997,110.500000,98.336449,161778
2014-01-02,110.500000,110.500000,107.300003,107.949997,96.067146,205216
2014-01-03,107.000000,108.599998,107.000000,107.775002,95.911415,49914
2014-01-06,109.875000,112.400002,108.324997,109.875000,97.780243,746238
2014-01-07,111.449997,111.775002,108.699997,111.175003,98.937157,556634
2014-01-08,111.400002,113.425003,109.000000,110.150002,98.024986,1042656
2014-01-09,110.500000,110.500000,107.574997,107.724998,95.866913,124850
2014-01-10,108.000000,108.900002,107.250000,107.599998,95.755669,331020
2014-01-13,108.699997,108.699997,106.750000,107.324997,95.510941,373982
2014-01-14,107.000000,109.250000,106.525002,107.949997,96.067146,50394
2014-01-15,107.275002,108.224998,106.550003,106.849998,95.088249,304610
2014-01-16,107.449997,108.250000,106.750000,107.324997,95.510941,397566
